*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
189;;;140.538;-60.7526;0;Bottom;Copper Fill116
190;;;4.572;-18.8426;0;Bottom;Copper Fill453
191;;;49.0983;-33.3587;0;Bottom;Copper Fill273
192;;;2.8956;-21.3826;0;Bottom;Copper Fill447
193;;;58.6233;-45.3983;0;Bottom;Copper Fill64
194;;;102.362;-21.7001;0;Bottom;Copper Fill277
195;;;24.0666;-7.75546;0;Bottom;Copper Fill516
196;;;140.933;-79.7515;0;Bottom;Hole6
197;;;48.1966;-2.65006;0;Bottom;Copper Fill217
198;;;18.9866;-2.70086;0;Bottom;Copper Fill504
199;;;118.097;-81.8551;0;Bottom;T1_8
200;;;28.8037;-81.0727;0;Bottom;Copper Fill364
201;;;119.05;-64.3722;0;Bottom;Copper Fill238
202;;;144.666;-68.0551;0;Bottom;Copper Fill159
203;;;46.2026;-41.817;0;Bottom;Copper Fill109
204;;;59.6631;-81.8417;0;Bottom;T1_3
205;;;127;-74.075;0;Bottom;Copper Fill31
206;;;4.572;-18.8426;0;Bottom;Copper Fill211
207;;;138.722;-19.7951;0;Bottom;Copper Fill401
208;;;16.5863;-64.4991;0;Bottom;Copper Fill239
209;;;13.9066;-51.4943;0;Bottom;Copper Fill202
210;;DIP (Dual Inline) [THT];21.5601;-17.5314;180;Bottom;driv 8
211;;;122.25;-49.3226;0;Bottom;Copper Fill306
212;100µF;100 mil [THT, electrolytic];118.073;-35.3015;90;Bottom;100µF9
213;;;38.0493;-45.3983;0;Bottom;Copper Fill254
214;;;53.4472;-40.3215;0;Bottom;Via15
215;;;139.586;-61.7051;0;Bottom;Copper Fill293
216;;;7.5565;-2.70086;0;Bottom;Copper Fill225
217;;;33.3757;-29.0026;0;Bottom;Copper Fill313
218;;;139.586;-68.0551;0;Bottom;Copper Fill387
219;;;111.811;-38.9975;0;Bottom;Copper Fill69
220;56;THT;36.7934;-37.8415;-90;Bottom;R LED 4
221;;;8.8265;-51.4943;0;Bottom;Copper Fill343
222;;;61.6713;-61.7051;0;Bottom;Copper Fill59
223;;;138.722;-17.9155;0;Bottom;Copper Fill173
224;;;47.8029;-50.5926;0;Bottom;Copper Fill456
225;;;125.679;-17.5091;0;Bottom;Copper Fill82
226;;;60.9093;-77.1992;0;Bottom;Copper Fill21
227;;;116.865;-20.0745;0;Bottom;Copper Fill283
228;;;2.8956;-13.7626;0;Bottom;Copper Fill218
229;;;143.802;-22.9955;0;Bottom;Copper Fill179
230;;;27.8766;-82.0252;0;Bottom;Copper Fill361
231;;;89.3573;-66.8867;0;Bottom;Copper Fill42
232;;;53.5941;-8.68256;0;Bottom;Copper Fill478
233;;;137.795;-36.6226;0;Bottom;Copper Fill190
234;;;131.902;-17.5091;0;Bottom;Copper Fill83
235;;;2.8956;-16.3026;0;Bottom;Copper Fill457
236;;;18.1357;-30.2726;0;Bottom;Copper Fill131
237;;;18.0341;-8.68256;0;Bottom;Copper Fill509
238;;;12.6366;-2.70086;0;Bottom;Copper Fill496
239;;;103.505;-56.8029;0;Bottom;Copper Fill251
240;4.7µF;100 mil [THT, electrolytic];73.6163;-64.5047;-90;Bottom;100µF3
241;;;6.6294;-32.8126;0;Bottom;Copper Fill325
242;;;145.542;-55.6726;0;Bottom;Copper Fill300
243;;;110.376;-33.3079;0;Bottom;Copper Fill141
244;;;22.4029;-50.5926;0;Bottom;Copper Fill342
245;;;139.675;-36.6226;0;Bottom;Copper Fill414
246;;;114.884;-66.201;0;Bottom;Copper Fill237
247;;;85.5727;-32.457;0;Bottom;Copper Fill416
248;;;2.3622;-81.4664;0;Bottom;Copper Fill1
249;;;53.2766;-22.2335;0;Bottom;Copper Fill373
250;;;144.755;-36.6226;0;Bottom;Copper Fill439
251;;;54.5466;-4.52966;0;Bottom;Copper Fill473
